Ticker,Company,Market Cap,Stock Price,Industry
BHP.AX,BHP Group Limited,307178425380,60.46,Other Industrial Metals & Mining
CBA.AX,Commonwealth Bank of Australia,266536145422,159.39999,Banks - Diversified
WBC.AX,Westpac Banking Corporation,122390279316,35.84,Banks - Diversified
NAB.AX,National Australia Bank Limited,111799954200,36.52,Banks - Diversified
ANZ.AX,ANZ Group Holdings Limited,106018373624,35.21,Banks - Diversified
MQG.AX,Macquarie Group Limited,88990638054,242.96001,Capital Markets
WES.AX,Wesfarmers Limited,81365517600,71.67,Home Improvement Retail
FMG.AX,Fortescue Ltd,69574914775,22.6,Other Industrial Metals & Mining
GMG.AX,Goodman Group,64165510200,31.38,REIT - Diversified
TLS.AX,Telstra Group Limited,60199603951,5.38,Telecom Services
WDS.AX,Woodside Energy Group Ltd,59244267188,31.25,Oil & Gas Exploration & Production
XYZ.AX,"Block, Inc.",58476531875,98.25,Software - Infrastructure
CSL.AX,CSL Limited,46914219520,97.96,Biotechnology
TCL.AX,Transurban Group,45554628000,14.6,Infrastructure Operations
RMD.AX,ResMed Inc.,41094473587,28.33,Medical Instruments & Supplies
WOW.AX,Woolworths Group Limited,40285070000,32.98,Grocery Stores
QBE.AX,QBE Insurance Group Limited,34422323743,23.04,Insurance - Property & Casualty
SIG.AX,Sigma Healthcare Limited,33014990111,2.86,Medical Distribution
ALL.AX,Aristocrat Leisure Limited,31076025402,51.53,Gambling
BXB.AX,Brambles Limited,29774293488,22.1,Specialty Business Services
NST.AX,Northern Star Resources Limited,29311051065,20.5,Gold
COL.AX,Coles Group Limited,27950743400,20.81,Grocery Stores
EVN.AX,Evolution Mining Limited,25388625000,12.5,Gold
STO.AX,Santos Limited,25533309389,7.88,Oil & Gas Exploration & Production
REA.AX,REA Group Limited,21327742618,162.01,Internet Content & Information
NWSLV.AX,News Corporation,19951411183,36.5,Entertainment
ORG.AX,Origin Energy Limited,19778987572,11.49,Utilities - Diversified
PLS.AX,PLS Group Limited,19358207145,6.01,Other Industrial Metals & Mining
SCG.AX,Scentre Group,19166915646,3.67,REIT - Retail
S32.AX,South32 Limited,18866393086,4.21,Other Industrial Metals & Mining
IAG.AX,Insurance Australia Group Limited,18825050440,8.01,Insurance - Property & Casualty
SUN.AX,Suncorp Group Limited,18941102537,17.49,Insurance - Property & Casualty
LYC.AX,Lynas Rare Earths Limited,18066728850,17.95,Other Industrial Metals & Mining
CPU.AX,Computershare Limited,17970486265,31.07,Capital Markets
SGH.AX,SGH Limited,16267717614,39.97,Conglomerates
SOL.AX,WHSP Holdings Limited,13911721856,42.61,Capital Markets
FPH.AX,Fisher & Paykel Healthcare Corporation Limited,15850930110,26.99,Medical Instruments & Supplies
JHX.AX,James Hardie Industries plc,15629803777,26.94,Building Materials
APA.AX,APA Group,13978800000,10.56,Utilities - Regulated Gas
XRO.AX,Xero Limited,13589152560,79.67,Software - Application
BSL.AX,BlueScope Steel Limited,13203653770,30.14,Steel
MPL.AX,Medibank Private Limited,12833655098,4.66,Insurance - Specialty
PME.AX,Pro Medicus Limited,12756827182,122.11,Health Information Services
MIN.AX,Mineral Resources Limited,12725950400,64.77,Other Industrial Metals & Mining
WTC.AX,WiseTech Global Limited,12775503204,38.01,Software - Application
MEZ.AX,Meridian Energy Limited,12745275213,4.83,Utilities - Renewable
QAN.AX,Qantas Airways Limited,12922721843,8.54,Airlines
TLC.AX,The Lottery Corporation Limited,11930136328,5.36,Gambling
VCX.AX,Vicinity Centres,11647244030,2.51,REIT - Retail
AIA.AX,Auckland International Airport Limited,11628589056,6.86,Airports & Air Services
ASX.AX,ASX Limited,11462752868,58.72,Financial Data & Stock Exchanges
ALQ.AX,ALS Limited,11267444677,22.2,Consulting Services
ORI.AX,Orica Limited,10675819584,23.04,Specialty Chemicals
DPM.AX,DPM Metals Inc.,10272401360,46.28,Gold
GGP.AX,Greatland Resources Limited,9494710786,14.11,Gold
CAR.AX,CAR Group Limited,9891999273,26.11,Internet Content & Information
SGP.AX,Stockland,9630811507,3.97,REIT - Diversified
NXT.AX,NEXTDC Limited,10745112528,14.87,Information Technology Services
CHC.AX,Charter Hall Group,9322770870,19.71,REIT - Diversified
TNE.AX,Technology One Limited,9284171823,28.36,Software - Application
SHL.AX,Sonic Healthcare Limited,9257076860,18.73,Diagnostics & Research
GPT.AX,The GPT Group,9098992793,4.75,REIT - Diversified
LNW.AX,"Light & Wonder, Inc.",8967440754,114,Gambling
SFR.AX,Sandfire Resources Limited,8839382430,18.93,Copper
QUB.AX,Qube Holdings Limited,8887468300,5.02,Integrated Freight & Logistics
YAL.AX,Yancoal Australia Ltd,8860148622,6.71,Thermal Coal
RHC.AX,Ramsay Health Care Limited,8636170800,37.56,Medical Care Facilities
CEN.AX,Contact Energy Limited,8174165962,8.22,Utilities - Renewable
ALD.AX,Ampol Limited,8352488570,35.05,Oil & Gas Refining & Marketing
REH.AX,Reece Limited,8186873948,13.31,Industrial Distribution
MCY.AX,Mercury NZ Limited,8206705609,5.79,Utilities - Renewable
AFI.AX,Australian Foundation Investment Company Limited,8172964388,6.57,Asset Management
TPG.AX,TPG Telecom Limited,8185832598,4.17,Telecom Services
LTR.AX,Liontown Limited,7470908500,2.35,Other Industrial Metals & Mining
JBH.AX,JB Hi-Fi Limited,7798792865,71.33,Specialty Retail
PRU.AX,Perseus Mining Limited,7445465120,5.53,Gold
CDA.AX,Codan Limited,7329562500,40.3,Scientific & Technical Instruments
GMD.AX,Genesis Minerals Limited,7208090898,6.31,Gold
AZJ.AX,Aurizon Holdings Limited,7103568200,4.22,Railroads
ALX.AX,Atlas Arteria Limited,6964940851,4.8,Infrastructure Operations
MGR.AX,Mirvac Group,6806608874,1.725,REIT - Diversified
APE.AX,Eagers Automotive Limited,6723094888,23.81,Auto & Truck Dealerships
ARG.AX,Argo Investments Limited,6654877710,8.77,Asset Management
ATM.AX,PT Antam (Persero) Tbk,6697149276,0.98,Gold
RMS.AX,Ramelius Resources Limited,6361708987,3.35,Gold
HUB.AX,HUB24 Limited,6584194935,80.54,Capital Markets
WHC.AX,Whitehaven Coal Limited,6573078263,7.97,Thermal Coal
DNL.AX,Dyno Nobel Limited,6478164000,3.69,Specialty Chemicals
IGO.AX,IGO Limited,6444349089,8.51,Other Industrial Metals & Mining
DXS.AX,DEXUS,6446265894,6.01,REIT - Office
CGF.AX,Challenger Limited,6343968514,9.2,Insurance - Life
COH.AX,Cochlear Limited,6299877675,96.33,Medical Devices
CMM.AX,Capricorn Metals Ltd,6193779585,13.56,Gold
WOR.AX,Worley Limited,6329039425,12.5,Oil & Gas Equipment & Services
AGL.AX,AGL Energy Limited,6115272348,9.09,Utilities - Independent Power Producers
BEN.AX,Bendigo and Adelaide Bank Limited,5864215302,10.4,Banks - Regional
EDV.AX,Endeavour Group Limited,5566565676,3.1,Beverages - Wineries & Distilleries
HVN.AX,Harvey Norman Holdings Limited,5482429278,4.4,Specialty Retail
NWL.AX,Netwealth Group Limited,5494432180,22.39,Software - Application
RRL.AX,Regis Resources Limited,5035725800,6.65,Gold
DOW.AX,Downer EDI Limited,5107820293,7.72,Engineering & Construction
CWY.AX,Cleanaway Waste Management Limited,5042721971,2.25,Waste Management
TLX.AX,Telix Pharmaceuticals Limited,4986798161,14.72,Biotechnology
WGX.AX,Westgold Resources Limited,4998158974,5.29,Gold
VNT.AX,Ventia Services Group Limited,4951622454,6.03,Infrastructure Operations
VAU.AX,Vault Minerals Limited,4800385753,4.64,Gold
PDN.AX,Paladin Energy Ltd,3894148846,10.65,Uranium
SEK.AX,SEEK Limited,4772461738,13.36,Internet Content & Information
NIC.AX,Nickel Industries Limited,4515613310,1.04,Other Industrial Metals & Mining
PDI.AX,Predictive Discovery Limited,2457534070,0.93,Gold
SDF.AX,Steadfast Group Limited,4459086428,4.01,Insurance Brokers
A2M.AX,The a2 Milk Company Limited,4446862569,6.13,Packaged Foods
NHC.AX,New Hope Corporation Limited,4412932790,5.23,Thermal Coal
SGM.AX,Sims Limited,4343877638,22.48,Steel
BRG.AX,Breville Group Limited,4237976295,29.26,"Furnishings, Fixtures & Appliances"
BOQ.AX,Bank of Queensland Limited,4082999859,6.21,Banks - Regional
EMR.AX,Emerald Resources NL,3977870581,6.02,Gold
AMP.AX,AMP Limited,3962172848,1.565,Financial Conglomerates
WAF.AX,West African Resources Limited,3737643524,3.27,Gold
VEA.AX,Viva Energy Group Limited,3738308363,2.28,Oil & Gas Refining & Marketing
PNI.AX,Pinnacle Investment Management Group Limited,3655962040,15.56,Asset Management
ANN.AX,Ansell Limited,3649661727,25.75,Medical Instruments & Supplies
NWH.AX,NRW Holdings Limited,3501138144,7.62,Conglomerates
TWE.AX,Treasury Wine Estates Limited,3431608355,4.25,Beverages - Wineries & Distilleries
ILU.AX,Iluka Resources Limited,3405887690,7.9,Other Industrial Metals & Mining
TUA.AX,Tuas Limited,2848361108,6.1,Telecom Services
MTS.AX,Metcash Limited,3244192163,2.95,Food Distribution
NHF.AX,nib holdings limited,3230858449,6.62,Insurance - Specialty
AUB.AX,AUB Group Limited,3179790184,24.34,Insurance Brokers
DRO.AX,DroneShield Limited,3019036221,3.27,Aerospace & Defense
MND.AX,Monadelphous Group Limited,2996783462,29.94,Engineering & Construction
SX2.AX,Southern Cross Gold Consolidated Ltd.,2794713088,11,Gold
L1G.AX,L1 Group Limited,661245135,1.19,Asset Management
ZIP.AX,Zip Co Limited,2966284000,2.36,Credit Services
MFF.AX,MFF Capital Investments Limited,2910578934,4.94,Asset Management
