Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
SAP.DE,SAP SE,166259805798,136.42,-4.20%,Software - Application,1956883,23.43,-2.22%
ENR.DE,Siemens Energy AG,151378834037,176.82,4.33%,Specialty Industrial Machinery,1837928,82.47,5.14%
ALV.DE,Allianz SE,142058523654,373.6,1.47%,Insurance - Diversified,477556,13.33,-0.37%
DTE.DE,Deutsche Telekom AG,134013221034,27.88,0.94%,Telecom Services,5227819,13.91,-8.71%
IFX.DE,Infineon Technologies AG,75706338785,64.08,10.22%,Semiconductors,3977798,75.2,47.53%
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,59860570112,461.7,-1.54%,Insurance - Reinsurance,342689,10.65,-15.27%
RHM.DE,Rheinmetall AG,54081799352,1117.2,-3.86%,Aerospace & Defense,298083,54.64,-23.77%
DHL.DE,Deutsche Post AG,52873050610,47.42,0.49%,Integrated Freight & Logistics,566921,15.16,-2.91%
DBK.DE,Deutsche Bank Aktiengesellschaft,51186693215,27.12,1.36%,Banks - Regional,1544649,8.6,-2.76%
MRK.DE,Merck KGaA,52500682999,120.75,6.86%,Drug Manufacturers - Specialty & Generic,440119,18.81,7.91%
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,48582401605,80.78,0.95%,Auto Manufacturers,504978,6.88,-3.84%
EOAN.DE,E.ON SE,49178127170,18.68,3.12%,Utilities - Diversified,3134074,27.14,-4.95%
MBG.DE,Mercedes-Benz Group AG,47981404560,50.88,1.31%,Auto Manufacturers,1534073,9.39,-5.57%
BAS.DE,BASF SE,47462415195,54.2,1.88%,Chemicals,1225381,32.08,-0.95%
DB1.DE,Deutsche Börse AG,45162271880,244.7,-2.04%,Financial Data & Stock Exchanges,202132,21.65,-2.73%
VOW3.DE,Volkswagen AG,43261799579,86.62,-0.14%,Auto Manufacturers,327392,6.58,-2.58%
VOW.DE,Volkswagen AG,44264371811,88.9,0.06%,Auto Manufacturers,29182,6.79,-2.68%
RWE.DE,RWE Aktiengesellschaft,41544811575,56.66,-2.68%,Utilities - Diversified,1171888,13.66,-4.37%
P911.DE,Dr. Ing. h.c. F. Porsche AG,41368511317,46.06,2.88%,Auto Manufacturers,325476,90.91,10.87%
CBK.DE,Commerzbank AG,40319400000,36.11,0.95%,Banks - Regional,1245082,14.84,4.17%
SHL.DE,Siemens Healthineers AG,37896078010,33.77,-0.38%,Medical Devices,346532,17.8,-10.51%
HOT.DE,HOCHTIEF Aktiengesellschaft,37808906513,509,1.29%,Engineering & Construction,30602,45.86,12.67%
BAYN.DE,Bayer Aktiengesellschaft,37165103022,37.89,-1.43%,Drug Manufacturers - General,1456110,-10.28,-5.38%
HEI.DE,Heidelberg Materials AG,32239533882,183.5,-1.13%,Building Materials,121450,16.44,-3.08%
DTG.DE,Daimler Truck Holding AG,30367106825,40.09,2.01%,Farm & Heavy Construction Machinery,506753,25.64,-9.32%
HNR1.DE,Hannover Rück SE,28436804197,235.2,,Insurance - Reinsurance,122602,11.17,-13.93%
TLX.DE,Talanx AG,26855815064,103.5,-1.24%,Insurance - Diversified,123187,11.02,-10.23%
2U3.DE,Alcon Inc.,25740806144,54.02,1.92%,Medical Instruments & Supplies,0,37.17,-18.84%
ADS.DE,adidas AG,25781362097,144.4,1.69%,Footwear & Accessories,323358,19.02,5.08%
HEN3.DE,Henkel AG & Co. KGaA,26182345330,63.7,0.70%,Household & Personal Products,164115,12.89,-4.89%
HEN.DE,Henkel AG & Co. KGaA,24947407232,59.8,0.59%,Household & Personal Products,41491,12.22,-4.86%
EBK.DE,EnBW Energie Baden-Württemberg AG,22514134920,70,0.86%,Utilities - Diversified,359,97.43,1.75%
FRE.DE,Fresenius SE & Co. KGaA,21791650247,38.25,-3.21%,Medical Care Facilities,586487,14.88,-14.43%
HLAG.DE,Hapag-Lloyd Aktiengesellschaft,21161504000,119.1,1.97%,Marine Shipping,16628,22.6,1.53%
22UA.DE,BioNTech SE,20344537088,79.5,0.76%,Biotechnology,47,,-0.06%
VNA.DE,Vonovia SE,18614448727,22.07,-0.63%,Real Estate Services,2273450,6.89,-4.45%
UN0.DE,Uniper SE,18075015000,44.4,2.30%,Utilities - Regulated Gas,1326,13.15,10.63%
KBX.DE,Knorr-Bremse AG,16345680000,103,1.58%,Auto Parts,61719,38.29,-3.48%
8TRA.DE,Traton SE,16310000000,32.7,0.86%,Farm & Heavy Construction Machinery,74038,12.86,-1.86%
MTX.DE,MTU Aero Engines AG,15433454066,287.4,-0.90%,Aerospace & Defense,58758,16.13,-12.45%
BEI.DE,Beiersdorf Aktiengesellschaft,15519557364,69.82,-1.69%,Household & Personal Products,199889,16.96,-7.30%
CON.DE,Continental Aktiengesellschaft,13804412947,68.82,-0.03%,Auto Parts,156060,-31.52,5.74%
SRT.DE,Sartorius Aktiengesellschaft,11642215757,169,0.24%,Medical Instruments & Supplies,1201,73.14,0.71%
SRT3.DE,Sartorius Aktiengesellschaft,14576315252,209.9,-0.57%,Medical Instruments & Supplies,36551,92.93,-1.26%
1COV.DE,Covestro AG,12437655767,59.9,0.34%,Specialty Chemicals,3457,-17.67,-0.70%
DWS.DE,DWS Group GmbH & Co. KGaA,11930000000,60,0.76%,Asset Management,40560,12.01,6.19%
NDX1.DE,Nordex SE,11075059240,45.3,-1.86%,Specialty Industrial Machinery,323220,35.14,-2.44%
LHA.DE,Deutsche Lufthansa AG,9826753227,8.16,-4.23%,Airlines,5041019,6.26,2.97%
SY1.DE,Symrise AG,10309586703,73.72,-0.41%,Specialty Chemicals,140159,41.16,0.79%
FME.DE,Fresenius Medical Care AG,10171515436,36.29,-3.64%,Medical Care Facilities,257984,11.4,-9.54%
PAH3.DE,Porsche Automobil Holding SE,9689748734,32.08,0.22%,Auto Manufacturers,425012,3.68,-0.40%
G1A.DE,GEA Group Aktiengesellschaft,9125033267,54.35,-3.29%,Specialty Industrial Machinery,124191,22.45,-11.65%
BNR.DE,Brenntag SE,8954780771,61.52,-0.81%,Specialty Chemicals,164531,33.28,6.50%
SHA0.DE,Schaeffler AG,8730734083,9.4,2.29%,Auto Parts,455391,-6.37,18.75%
NDA.DE,Aurubis AG,8792928642,209.8,7.10%,Metal Fabrication,168781,14.16,18.13%
HAG.DE,Hensoldt AG,8334480000,73.66,3.05%,Aerospace & Defense,280897,68.62,-4.87%
EVK.DE,Evonik Industries AG,8168980000,17.83,1.71%,Specialty Chemicals,634648,30.33,2.13%
HLE.DE,HELLA GmbH & Co. KGaA,7955555619,71.6,,Auto Parts,3954,49.04,-3.11%
DWNI.DE,Deutsche Wohnen SE,7891067502,19.72,-0.80%,Real Estate Services,57158,-15.78,-3.73%
RAA.DE,RATIONAL Aktiengesellschaft,7291012500,641,-0.39%,Specialty Industrial Machinery,4379,28.79,-6.54%
DHER.DE,Delivery Hero SE,7487902159,25.93,6.97%,Internet Retail,1731832,-13.41,46.48%
NEM.DE,Nemetschek SE,6975643958,57.95,-4.06%,Software - Application,162973,34.86,-5.46%
OHB.DE,OHB SE,6895051200,389.5,10.97%,Aerospace & Defense,12499,1060,33.52%
FRA.DE,Fraport AG,6412704345,67.65,-2.45%,Airports & Air Services,29457,14.94,-14.93%
TKA.DE,thyssenkrupp AG,6359161734,10.39,4.90%,Conglomerates,1779089,41.27,21.08%
KGX.DE,KION GROUP AG,6008137007,45.25,-1.24%,Farm & Heavy Construction Machinery,186726,22.71,0.11%
EVD.DE,CTS Eventim AG & Co. KGaA,5250724110,53.9,-2.44%,Entertainment,123404,18.5,0.74%
AIXA.DE,AIXTRON SE,5227618956,51.14,10.33%,Semiconductor Equipment & Materials,544972,94.42,31.94%
G24.DE,Scout24 SE,5133943993,77.9,6.86%,Internet Content & Information,607702,19.38,20.66%
WCH.DE,Wacker Chemie AG,4863474536,99.2,3.23%,Specialty Chemicals,39545,-6.06,8.11%
UTDI.DE,United Internet AG,4753026053,26.58,-3.35%,Telecom Services,197049,17.5,-1.07%
TKMS.DE,TKMS AG & Co KGaA,4999310848,72.4,-2.69%,Aerospace & Defense,45449,51.78,-12.67%
ZAL.DE,Zalando SE,4951405899,19.32,1.23%,Internet Retail,1069333,23.68,-12.12%
FPE.DE,Fuchs SE,3975849879,30.4,-0.49%,Specialty Chemicals,32061,13.79,-3.79%
FPE3.DE,Fuchs SE,4862719637,37.08,-0.91%,Specialty Chemicals,38355,16.63,-3.50%
R3NK.DE,RENK Group AG,4410500000,43.46,-1.47%,Aerospace & Defense,632474,48.11,-18.81%
LEG.DE,LEG Immobilien SE,4398220560,56.9,-2.23%,Real Estate Services,357302,3.45,-4.60%
IOS.DE,IONOS Group SE,4260260000,28.68,-6.76%,Information Technology Services,363951,18.55,22.89%
AG1.DE,AUTO1 Group SE,3914392082,19.99,9.23%,Auto & Truck Dealerships,1078960,48.81,0.32%
OBCK.DE,Ottobock SE & Co. KGaA,3813812992,60.4,-2.89%,Medical Instruments & Supplies,4346,,10.91%
1U1.DE,1&1 AG,3971617650,22.5,,Telecom Services,11310,31.62,-6.61%
SPG.DE,Springer Nature AG & Co. KGaA,4017557760,19.64,-0.51%,Publishing,2619,,13.86%
BC8.DE,Bechtle AG,3832920010,29.76,-3.13%,Information Technology Services,114362,18.3,0.40%
KRN.DE,Krones AG,3873310627,119.6,-2.29%,Specialty Industrial Machinery,26207,13.5,-2.43%
GIL.DE,DMG MORI AKTIENGESELLSCHAFT,3783263712,48.1,0.21%,Tools & Accessories,827,30.88,-1.03%
GBF.DE,Bilfinger SE,3612707648,90.4,-6.95%,Engineering & Construction,1306,21.7,-19.38%
PUM.DE,PUMA SE,3568343824,25.86,6.11%,Footwear & Accessories,943424,-5.79,1.41%
AMV0.DE,Aumovio SE,3601835676,36.05,2.71%,Auto Parts,114004,-6.05,-0.28%
FIE.DE,Fielmann Group AG,3517859935,41.85,1.33%,Medical Instruments & Supplies,29446,19.45,-8.89%
TUI1.DE,TUI AG,3240454577,6.48,1.47%,Travel Services,6251757,5.25,-10.51%
FTK.DE,flatexDEGIRO SE,3220648981,30.18,-0.07%,Capital Markets,175877,20.07,-11.98%
FNTN.DE,freenet AG,3204353042,27.02,-0.52%,Telecom Services,325900,12.07,-2.03%
SIX2.DE,Sixt SE,3239091702,70.55,2.25%,Rental & Leasing Services,93262,11.54,-0.83%
ELG.DE,Elmos Semiconductor SE,3048813495,176,3.53%,Semiconductors,49554,28.49,0.80%
SZG.DE,Salzgitter AG,2985618960,55.3,4.34%,Steel,107671,-14.92,14.39%
TEG.DE,TAG Immobilien AG,2791179329,14.42,-2.24%,Real Estate - Diversified,218364,28.29,-4.02%
SDF.DE,K+S Aktiengesellschaft,2763513000,15.53,0.65%,Agricultural Inputs,953936,-2.57,-0.13%
WAF.DE,Siltronic AG,2796000000,91.7,2.69%,Semiconductors,78700,-21.62,51.92%
JUN3.DE,Jungheinrich Aktiengesellschaft,2533680000,24.8,-1.59%,Specialty Industrial Machinery,191458,9.06,-13.15%
AFX.DE,Carl Zeiss Meditec AG,2262807642,25.3,-11.91%,Medical Instruments & Supplies,456004,15.98,-3.01%
KWS.DE,KWS SAAT SE & Co. KGaA,2514600000,76.9,0.92%,Agricultural Inputs,22597,13.37,2.15%
BOSS.DE,Hugo Boss AG,2463186905,35.58,-1.06%,Apparel Manufacturing,87933,10.87,-4.32%
1SXP.DE,SCHOTT Pharma AG & Co. KGaA,2403809280,16,1.91%,Medical Instruments & Supplies,91004,16.12,14.66%
DMP.DE,Dermapharm Holding SE,2514328000,46.55,0.54%,Drug Manufacturers - Specialty & Generic,14237,21.74,5.69%
SZU.DE,Südzucker AG,2359761874,11.46,3.06%,Packaged Foods,295221,-12.43,-4.98%
JEN.DE,Jenoptik AG,2463528470,43.86,12.12%,Electronic Components,456374,30.13,40.75%
SAX.DE,Ströer SE & Co. KGaA,2166914544,38.9,-1.77%,Advertising Agencies,45171,17.54,11.98%
VBK.DE,Verbio SE,2293757244,38.48,15.07%,Specialty Chemicals,259807,-20.45,0.27%
S92.DE,SMA Solar Technology AG,1971827500,55.35,-8.21%,Solar,301975,-10.89,17.67%
CEC.DE,Ceconomy AG,2018519709,4.2,0.96%,Specialty Retail,17488,417.5,0.36%
CECV.DE,Ceconomy AG,,4.32,0.47%,Miscellaneous General Merchandise Stores,0,,0.47%
MVV1.DE,MVV Energie AG,2016747958,30.4,-0.65%,Utilities - Diversified,1698,18.32,-1.30%
PFSE.DE,PFISTERER Holding SE,1900000000,106.7,2.01%,Electronic Components,0,41.18,31.73%
ACT.DE,AlzChem Group AG,1676479918,167.7,1.27%,Specialty Chemicals,12607,25.44,-4.44%
PFV.DE,Pfeiffer Vacuum Technology AG,1647899053,166.4,-0.12%,Specialty Industrial Machinery,744,27.42,-0.36%
HHFA.DE,Hamburger Hafen und Logistik Aktiengesellschaft,1559071167,21.5,-0.46%,Marine Shipping,1729,166.92,-1.36%
DEZ.DE,DEUTZ Aktiengesellschaft,1633226600,10.74,1.42%,Specialty Industrial Machinery,318872,38.64,10.79%
SMHN.DE,SUSS MicroTec SE,1660184475,86.35,4.16%,Semiconductor Equipment & Materials,66240,30,41.35%
LXS.DE,LANXESS Aktiengesellschaft,1560277695,18.76,3.82%,Specialty Chemicals,432659,-2.71,1.23%
DUE.DE,Dürr Aktiengesellschaft,1508605344,21.45,-1.61%,Specialty Industrial Machinery,84423,-29.07,0.47%
DEQ.DE,Deutsche EuroShop AG,1473459360,19.56,-0.41%,Real Estate Services,4575,6.96,-1.92%
DRW3.DE,Drägerwerk AG & Co. KGaA,1607731943,84.3,-1.40%,Medical Devices,10011,10.51,-11.01%
BIO.DE,Biotest Aktiengesellschaft,1149995467,40,2.04%,Biotechnology,10,-53.02,-20.85%
DRW8.DE,Drägerwerk AG & Co. KGaA,1253168000,65.6,-1.80%,Medical Devices,1942,8.89,-11.73%
KSB.DE,KSB SE & Co. KGaA,1460605884,846,1.44%,Specialty Industrial Machinery,65,10.37,-19.24%
VH2.DE,Friedrich Vorwerk Group SE,1467000000,73.45,3.45%,Engineering & Construction,59825,16.96,-2.06%
WUW.DE,Wüstenrot & Württembergische AG,1413745778,15.04,1.48%,Insurance - Life,30939,11.41,2.18%
NBG6.DE,NÜRNBERGER Beteiligungs-AG,1381760640,120,,Insurance - Diversified,146,21.51,
VOS.DE,Vossloh AG,1378524596,71.2,-0.21%,Railroads,12162,31.58,-5.26%
WAC.DE,Wacker Neuson SE,1297732777,18.88,-0.21%,Farm & Heavy Construction Machinery,44006,21.38,-4.95%
KCO.DE,Klöckner & Co SE,1246875000,12.6,0.80%,Steel,40408,-41.67,2.44%
KCO0.DE,Klöckner & Co SE,,11.7,-2.50%,Metals Service Centers and Offices,13606,,-2.50%
HBH.DE,HORNBACH Holding AG & Co. KGaA,1242947553,78.4,0.90%,Home Improvement Retail,7448,9.53,-6.34%
YSN.DE,secunet Security Networks Aktiengesellschaft,1258965129,192.4,1.48%,Software - Infrastructure,5487,37.2,8.92%
ADV.DE,Adtran Networks SE,1202458950,23,,Communication Equipment,283,-13.59,0.88%
AOF.DE,ATOSS Software SE,1134117194,69.9,-3.59%,Software - Application,11414,24.74,-5.28%
TIMA.DE,ZEAL Network SE,1036007692,48.6,-1.02%,Gambling,566,21.73,-1.83%
NCH2.DE,thyssenkrupp nucera AG & Co. KGaA,1066098600,8.44,3.24%,Specialty Industrial Machinery,94302,-168.8,1.20%
MBB.DE,MBB SE,743294981,200,2.15%,Conglomerates,8295,22.63,9.22%
DOU.DE,Douglas AG,972461541,9.12,-2.88%,Specialty Retail,191426,6.19,-14.61%
GXI.DE,Gerresheimer AG,980936000,26.8,-5.63%,Medical Instruments & Supplies,236390,41.26,56.65%
2GB.DE,2G Energy AG,944541000,57.25,8.74%,Specialty Industrial Machinery,58867,40.77,29.41%
EUZ.DE,Eckert & Ziegler SE,934854977,14.72,-1.47%,Medical Devices,171586,19.78,0.07%
V1NC.DE,Vincorion SE,,18.25,-1.08%,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments",39234,,12.12%
EVT.DE,Evotec SE,902177667,4.53,-10.81%,Drug Manufacturers - Specialty & Generic,2184446,-4.66,0.62%
PSM.DE,ProSiebenSat.1 Media SE,892600265,3.91,1.98%,Broadcasting,213890,-5.25,1.03%
TMV.DE,TeamViewer SE,845262782,5.3,-1.58%,Software - Application,571714,7.54,26.19%
TPE.DE,PVA TePla AG,841156200,41.24,2.95%,Specialty Industrial Machinery,45067,436.2,22.15%
SFQ.DE,SAF-Holland SE,867939054,19.74,3.24%,Auto Parts,19277,17.75,8.37%
MLP.DE,MLP SE,859799641,7.76,-0.77%,Asset Management,92931,15.61,6.42%
NB2.DE,Northern Data AG,869864973,13.6,0.59%,Information Technology Services,5243,-1.8,54.95%
EIN.DE,Einhell Germany AG,834289356,72.6,-0.41%,Tools & Accessories,2417,11.37,4.18%
RHK.DE,RHÖN-KLINIKUM Aktiengesellschaft,823343181,12.3,-2.38%,Medical Care Facilities,106,21.4,-0.81%
JST.DE,JOST Werke SE,852280000,56,7.69%,Auto Parts,64806,96,3.59%
INH.DE,INDUS Holding AG,781720553,31.4,0.96%,Conglomerates,41918,12.1,12.68%
PNE3.DE,PNE AG,738456140,9.72,0.83%,Utilities - Renewable,6728,-964,10.57%
BSL.DE,Basler Aktiengesellschaft,763389255,26,8.33%,Consumer Electronics,62263,37.81,87.50%
COK.DE,Cancom SE,741967462,24.35,-4.88%,Information Technology Services,115676,47.55,-0.81%
CHG.DE,CHAPTERS Group AG,695507344,30.1,2.03%,Information Technology Services,9253,-30.89,-5.12%
