Ticker,Company
INVE-A.ST,Investor AB (publ)
INVE-B.ST,Investor AB (publ)
ATCO-A.ST,Atlas Copco AB (publ)
ATCO-B.ST,Atlas Copco AB (publ)
VOLV-A.ST,AB Volvo (publ)
VOLV-B.ST,AB Volvo (publ)
SAND.ST,Sandvik AB (publ)
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ)
ERIC-A.ST,Telefonaktiebolaget LM Ericsson (publ)
SWED-A.ST,Swedbank AB (publ)
ASSA-B.ST,ASSA ABLOY AB (publ)
EQT.ST,EQT AB (publ)
SEB-A.ST,Skandinaviska Enskilda Banken AB (publ)
SEB-C.ST,Skandinaviska Enskilda Banken AB (publ)
EPI-B.ST,Epiroc AB (publ)
EPI-A.ST,Epiroc AB (publ)
SAAB-B.ST,Saab AB (publ)
SHB-A.ST,Svenska Handelsbanken AB (publ)
SHB-B.ST,Svenska Handelsbanken AB (publ)
HM-B.ST,H & M Hennes & Mauritz AB (publ)
HEXA-B.ST,Hexagon AB (publ)
ALFA.ST,Alfa Laval AB (publ)
INDU-C.ST,AB Industrivärden (publ)
INDU-A.ST,AB Industrivärden (publ)
TELIA.ST,Telia Company AB (publ)
ESSITY-B.ST,Essity AB (publ)
ESSITY-A.ST,Essity AB (publ)
SOBI.ST,Swedish Orphan Biovitrum AB (publ)
BOL.ST,Boliden AB (publ)
EVO.ST,Evolution AB (publ)
LUND-B.ST,L E Lundbergföretagen AB (publ)
LIFCO-B.ST,Lifco AB (publ)
LATO-B.ST,Investment AB Latour (publ)
TEL2-A.ST,Tele2 AB (publ)
TEL2-B.ST,Tele2 AB (publ)
SKF-B.ST,AB SKF (publ)
SKF-A.ST,AB SKF (publ)
SKA-B.ST,Skanska AB (publ)
ADDT-B.ST,Addtech AB (publ.)
SSAB-A.ST,SSAB AB (publ)
SSAB-B.ST,SSAB AB (publ)
TREL-B.ST,Trelleborg AB (publ)
SECU-B.ST,Securitas AB (publ)
NIBE-B.ST,NIBE Industrier AB (publ)
SAVE.ST,Nordnet AB (publ)
INDT.ST,Indutrade AB (publ)
SCA-A.ST,Svenska Cellulosa Aktiebolaget SCA (publ)
SCA-B.ST,Svenska Cellulosa Aktiebolaget SCA (publ)
VOLCAR-B.ST,Volvo Car AB (publ.)
AAK.ST,AAK AB (publ.)
BEIJ-B.ST,Beijer Ref AB (publ)
BALD-B.ST,Fastighets AB Balder (publ)
SAGA-B.ST,AB Sagax (publ)
SAGA-A.ST,AB Sagax (publ)
SAGA-D.ST,AB Sagax (publ)
MYCR.ST,Mycronic AB (publ)
CAST.ST,Castellum AB (publ)
AXFO.ST,Axfood AB (publ)
AZA.ST,Avanza Bank Holding AB (publ)
LAGR-B.ST,Lagercrantz Group AB (publ)
GETI-B.ST,Getinge AB (publ)
SECT-B.ST,Sectra AB (publ)
HOLM-A.ST,Holmen AB (publ)
HOLM-B.ST,Holmen AB (publ)
SWEC-A.ST,Sweco AB (publ)
SWEC-B.ST,Sweco AB (publ)
NOBA.ST,NOBA Bank Group AB (publ)
MTRS.ST,Munters Group AB (publ)
ASMDEE-B.ST,Asmodee Group AB (publ)
PNDX-B.ST,Pandox AB (publ)
ASKER.ST,Asker Healthcare Group AB (publ)
MCOV-B.ST,Medicover AB (publ)
CAMX.ST,Camurus AB (publ)
LOOMIS.ST,Loomis AB (publ)
HMS.ST,HMS Networks AB (publ)
BIOA-B.ST,BioArctic AB (publ)
CATE.ST,Catena AB (publ)
ROKO-B.ST,Röko AB (publ)
CLAS-B.ST,Clas Ohlson AB (publ)
SINCH.ST,Sinch AB (publ)
SILEX.ST,Silex Microsystems AB (publ)
HPOL-B.ST,HEXPOL AB (publ)
WIHL.ST,Wihlborgs Fastigheter AB (publ)
WALL-B.ST,Wallenstam AB (publ)
PEAB-B.ST,Peab AB (publ)
FABG.ST,Fabege AB (publ)
HUSQ-A.ST,Husqvarna AB (publ)
HUSQ-B.ST,Husqvarna AB (publ)
HUFV-A.ST,Hufvudstaden AB (publ)
THULE.ST,Thule Group AB (publ)
HACK.ST,Hacksaw AB (publ)
EKTA-B.ST,Elekta AB (publ)
BRAV.ST,Bravida Holding AB (publ)
BUFAB.ST,Bufab AB (publ)
BURE.ST,Bure Equity AB (publ)
AQ.ST,AQ Group AB (publ)
ALLEI.ST,Alleima AB (publ)
SIVE.ST,Sivers Semiconductors AB (publ)
OEM-B.ST,OEM International AB (publ)
GRNG.ST,Gränges AB (publ)
SHOT.ST,Scandic Hotels Group AB (publ)
NCC-A.ST,NCC AB (publ)
NCC-B.ST,NCC AB (publ)
BEIA-B.ST,Beijer Alma AB (publ)
INTEA-D.ST,Intea Fastigheter AB (publ)
INTEA-B.ST,Intea Fastigheter AB (publ)
ATRLJ-B.ST,Atrium Ljungberg AB (publ)
ALIF-B.ST,AddLife AB (publ)
PUBLI.ST,PPI Public Property Invest AB (publ)
NP3.ST,NP3 Fastigheter AB (publ)
BONEX.ST,Bonesupport Holding AB (publ)
MTG-A.ST,Modern Times Group MTG AB
MTG-B.ST,Modern Times Group MTG AB
KINV-A.ST,Kinnevik AB
KINV-B.ST,Kinnevik AB
ATT.ST,Attendo AB (publ)
STOR-B.ST,Storskogen Group AB (publ)
BILL.ST,Billerud AB (publ)
SYSR.ST,Systemair AB (publ)
EMBRAC-B.ST,Embracer Group AB (publ)
VIMIAN.ST,Vimian Group AB (publ)
RUSTA.ST,Rusta AB (publ)
NCAB.ST,NCAB Group AB (publ)
CLA-B.ST,Cloetta AB (publ)
HOFI.ST,Hoist Finance AB (publ)
VITR.ST,Vitrolife AB (publ)
PDX.ST,Paradox Interactive AB (publ)
NOLA-B.ST,Nolato AB (publ)
ELUX-B.ST,AB Electrolux (publ)
ELUX-A.ST,AB Electrolux (publ)
ALTRA.ST,Altra Fastigheter AB (publ)
AFRY.ST,Afry AB
BIOG-B.ST,BioGaia AB (publ)
NEWA-B.ST,New Wave Group AB (publ)
EPRO-B.ST,Electrolux Professional AB (publ)
CIBUS.ST,Cibus Nordic Real Estate AB (publ)
BILI-A.ST,Bilia AB (publ)
IVSO.ST,Invisio AB (publ)
BETS-B.ST,Betsson AB (publ)
PLEJD.ST,Plejd AB (publ)
SKIS-B.ST,SkiStar AB (publ)
AMBEA.ST,Ambea AB (publ)
VIT-B.ST,Vitec Software Group AB (publ)
RATO-A.ST,Ratos AB (publ)
RATO-B.ST,Ratos AB (publ)
TFBANK.ST,Avarda Bank AB (publ)
ALIG.ST,Alimak Group AB (publ)
HANZA.ST,Hanza AB (publ)
SLP-B.ST,Swedish Logistic Property AB
LIAB.ST,Lindab International AB (publ)
CRED-A.ST,Creades AB
NORION.ST,Norion Bank AB (publ)
INSTAL.ST,Instalco AB (publ)
ENGCON-B.ST,engcon AB (publ)
DOM.ST,Dometic Group AB (publ)
AVARDA.ST,Avarda Bank AB (publ)
ACAD.ST,AcadeMedia AB (publ)
HTRO.ST,Hexatronic Group AB (publ)
CORE-A.ST,Corem Property Group AB (publ)
CORE-D.ST,Corem Property Group AB (publ)
CORE-B.ST,Corem Property Group AB (publ)
SDIP-B.ST,Sdiptech AB (publ)
SCST.ST,Scandi Standard AB (publ)
XVIVO.ST,Xvivo Perfusion AB (publ)
DIOS.ST,Diös Fastigheter AB (publ)
HEM.ST,Hemnet Group AB (publ)
MILDEF.ST,MilDef Group AB (publ)
DYVOX.ST,Dynavox Group AB (publ)
PLAZ-B.ST,Platzer Fastigheter Holding AB (publ)
MCAP.ST,MedCap AB (publ)
VBG-B.ST,VBG Group AB (publ)
INWI.ST,Inwido AB (publ)
FPAR-A.ST,FastPartner AB (publ)
FPAR-D.ST,FastPartner AB (publ)
STORY-B.ST,Storytel AB (publ)
BERG-B.ST,Bergman & Beving AB (publ)
EMIL-B.ST,Fastighetsbolaget Emilshus AB (publ)
APOTEA.ST,Apotea AB (publ)
SBB-B.ST,Samhällsbyggnadsbolaget i Norden AB (publ)
SBB-D.ST,Samhällsbyggnadsbolaget i Norden AB (publ)
BOOZT.ST,Boozt AB (publ)
SYNSAM.ST,Synsam AB (publ)
JM.ST,JM AB (publ)
OVZON.ST,Ovzon AB (publ)
LOGI-B.ST,Logistea AB (publ)
LOGI-A.ST,Logistea AB (publ)
VPLAY-B.ST,Viaplay Group AB (publ)
VPLAY-A.ST,Viaplay Group AB (publ)
KAR.ST,Karnov Group AB (publ)
RAY-B.ST,RaySearch Laboratories AB (publ)
VOLO.ST,Volati AB (publ)
ARJO-B.ST,Arjo AB (publ)
SVEAF.ST,Sveafastigheter AB (publ)
ALLIGO-B.ST,Alligo AB (publ)
ORES.ST,Investment AB Öresund (publ)
MIPS.ST,Mips AB (publ)
TROAX.ST,Troax Group AB (publ)
GOTL-B.ST,Rederiaktiebolaget Gotland (publ)
GOTL-A.ST,Rederiaktiebolaget Gotland (publ)
ANOD-B.ST,Addnode Group AB (publ)
ACAST.ST,Acast AB (publ)
RVRC.ST,RVRC Holding AB (publ)
STEF-B.ST,Stendörren Fastigheter AB (publ)
MMGR-B.ST,Momentum Group AB (publ)
YUBICO.ST,Yubico AB
BAHN-B.ST,Bahnhof AB (publ)
SVOL-A.ST,Svolder AB (publ)
SVOL-B.ST,Svolder AB (publ)
ZZ-B.ST,Zinzino AB (publ)
FLAT-B.ST,Flat Capital AB (publ)
COOR.ST,Coor Service Management Holding AB
SPLTN.ST,Investment AB Spiltan
NOTE.ST,NOTE AB (publ)
VESTUM.ST,Vestum AB (publ)
JOMA.ST,John Mattson Fastighetsföretagen AB (publ)
HAYPP.ST,Haypp Group AB (publ)
EPEN.ST,Ependion AB
BHG.ST,BHG Group AB (publ)
LINC.ST,Linc AB
EAST.ST,Eastnine AB (publ)
TRUE-B.ST,Truecaller AB (publ)
MEKO.ST,Meko AB (publ)
COFFEE-B.ST,Coffee Stain Group AB (publ)
SECARE.ST,Swedencare AB (publ)
KARNEL-B.ST,Karnell Group AB (publ)
HEBA-B.ST,Heba Fastighets AB (publ)
SFAST.ST,Stenhus Fastigheter i Norden AB (publ)
NMAN.ST,Nederman Holding AB (publ)
HEIM-PREF.ST,Heimstaden AB (publ)
PRISMA.ST,Prisma Properties AB (publ)
NYAB.ST,Nyab AB (publ)
VISC.ST,Gruvaktiebolaget Viscaria
DUNI.ST,Duni AB (publ)
ITAB.ST,ITAB Shop Concept AB (publ)
IDUN-B.ST,Idun Industrier AB (publ)
NREST.ST,Nordrest Holding AB (publ)
BTS-B.ST,BTS Group AB (publ)
MAHA-A.ST,Maha Capital AB (publ)
GOMX.ST,GomSpace Group AB (publ)
NIVI-B.ST,Nivika Fastigheter AB (publ)
REJL-B.ST,Rejlers AB (publ)
ENITY.ST,Enity Holding AB (publ)
TRAC-B.ST,AB Traction
SEYE.ST,Smart Eye AB (publ)
FMM-B.ST,FM Mattsson AB (publ)
FAG.ST,Fagerhult Group AB
HNSA.ST,Hansa Biopharma AB (publ)
PACT.ST,Proact IT Group AB (publ)
TRIAN-B.ST,Fastighets AB Trianon (publ)
VICO.ST,Vicore Pharma Holding AB (publ)
SVED-B.ST,Svedbergs Group AB (publ)
HUMBLE.ST,Humble Group AB (publ)
VER.ST,Verve Group SE
BRIN-B.ST,Brinova Fastigheter AB (publ)
EGTX.ST,Egetis Therapeutics AB (publ)
XANO-B.ST,XANO Industri AB (publ)
LIME.ST,Lime Technologies AB (publ)
CEVI.ST,CellaVision AB (publ)
ORRON.ST,Orrön Energy AB (publ)
MORROW.ST,Morrow Bank AB
BONAV-A.ST,Bonava AB (publ)
BONAV-B.ST,Bonava AB (publ)
BMAX.ST,Byggmax Group AB (publ)
VIVA.ST,Viva Wine Group AB
KFAST-B.ST,K-Fast Holding AB (publ)
TEQ.ST,Teqnion AB (publ)
BESQAB.ST,Besqab AB (publ)
AGROUP.ST,Arlandastad Group AB (publ)
SMCRT.ST,SmartCraft Group AB (publ)
INTRUM.ST,Intrum AB (publ)
KNOW.ST,Knowit AB (publ)
HUM.ST,Humana AB (publ)
SF.ST,Stillfront Group AB (publ)
DUST.ST,Dustin Group AB (publ)
NEOBO.ST,Neobo Fastigheter AB (publ)
VNV.ST,VNV Global AB (publ)
KBC.ST,KB Components AB (publ)
KLARA-B.ST,KlaraBo Sverige AB (publ)
FLERIE.ST,Flerie AB (publ)
STIL.ST,Stille AB
BYGGP.ST,ByggPartner Gruppen AB (publ)
ABSO.ST,Absolent Air Care Group AB (publ)
CINT.ST,Cint Group AB (publ)
SVIK.ST,Studsvik AB (publ)
MSON-B.ST,Midsona AB (publ)
MSON-A.ST,Midsona AB (publ)
SUS.ST,Surgical Science Sweden AB (publ)
VEFAB.ST,VEF AB (publ)
FG.ST,Fasadgruppen Group AB (publ)
GREEN.ST,Green Landscaping Group AB (publ)
CLAV.ST,Clavister Holding AB (publ.)
CRNO-B.ST,Cereno Scientific AB (publ)
ELTEL.ST,Eltel AB (publ)
SANION.ST,Saniona AB (publ)
VSSAB-B.ST,Viking Supply Ships AB (publ)
CAT-A.ST,Catella AB (publ)
CAT-B.ST,Catella AB (publ)
BINV.ST,BioInvent International AB (publ)
ELAN-B.ST,Elanders AB (publ)
SIVI.ST,Siljansvik AB (publ)
WSG.ST,WS WeSports Group AB (publ)
VERT-B.ST,Vertiseit AB (publ)
EG7.ST,Enad Global 7 AB (publ)
SFAB.ST,Solid Försäkringsaktiebolag (publ)
INISS-B.ST,Inission AB (publ)
GPG.ST,Genova Property Group AB (publ)
PCELL.ST,PowerCell Sweden AB (publ)
SOSI.ST,Sotkamo Silver AB
ENEA.ST,Enea AB (publ)
KABE-B.ST,KABE Group AB (publ.)
BORG.ST,Björn Borg AB (publ)
DVYSR.ST,Devyser Diagnostics AB (publ)
CARA.ST,Carasent AB (publ)
TRAIN-B.ST,Train Alliance AB (publ)
CHEF.ST,Cheffelo AB (publ)
AJA-B.ST,Byggmästare Anders J Ahlström Holding AB (publ)
EXS.ST,Exsitec Holding AB (publ)
CTT.ST,CTT Systems AB (publ)
ANNE-B.ST,Annehem Fastigheter AB
SALT-B.ST,SaltX Technology Holding AB (publ)
BERNER-B.ST,Berner Industrier AB
CCC.ST,Cavotec Group AB
MSAB-B.ST,Micro Systemation AB (publ)
NETI-B.ST,Net Insight AB (publ)
BRIX.ST,Briox AB (publ)
GENO.ST,Genovis AB (publ.)
LEA.ST,Lea Bank AB (publ)
BICO.ST,BICO Group AB (publ)
ASTOR.ST,Scandinavian Astor Group AB (publ)
FNOVA-B.ST,Fortinova Fastigheter AB (Publ)
PAX.ST,Paxman AB (publ)
FPIP.ST,Formpipe Software AB (publ)
XSPRAY.ST,Xspray Pharma AB (publ)
CRAD-B.ST,C-Rad AB (publ)
EOLU-B.ST,Eolus Aktiebolag (publ)
SOF-B.ST,Softronic AB (publ)
KJELL.ST,Kjell Group AB (publ)
NOBI.ST,Nobia AB (publ)
AAC.ST,AAC Clyde Space AB (publ)
RUG.ST,RugVista Group AB (publ)
ACCON.ST,Acconeer AB (publ)
BOKUS.ST,Bokusgruppen AB (publ)
NELLY.ST,Nelly Group AB (publ)
BULTEN.ST,Bulten AB (publ)
PREV-B.ST,Prevas AB
EWRK.ST,Ework Group AB (publ)
ADVE.ST,Advenica AB (publ)
FIRE.ST,Firefly AB (publ)
STATE.ST,Safestate Group AB (publ)
MVIR.ST,Medivir AB (publ)
STUDBO.ST,Studentbostäder i Norden AB (publ)
CTEK.ST,CTEK AB (publ)
SEDANA.ST,Sedana Medical AB (publ)
W5.ST,W5 Solutions AB (publ)
LYKO-A.ST,Lyko Group AB (publ)
ARPL.ST,Arla Plast AB
LUMEN.ST,LumenRadio AB (publ)
NIL-B.ST,Nilörngruppen AB (publ)
ALM.ST,ALM Equity AB (publ)
EMBELL.ST,Embellence Group AB (publ)
GRANGX.ST,Grangex AB
MANG.ST,Mangold Fondkommission AB
TINGS-B.ST,Tingsvalvet Fastighets AB (publ)
TINGS-A.ST,Tingsvalvet Fastighets AB (publ)
ALCA.ST,Alcadon Group AB (publ)
RAIL.ST,Railcare Group AB (publ)
QBEN.ST,Qben Infra AB (publ)
CDON.ST,CDON AB
SYNACT.ST,SynAct Pharma AB
ITECH.ST,I-Tech AB
EQL.ST,EQL Pharma AB (publ)
PIERCE.ST,Pierce Group AB (publ)
CAG.ST,CAG Group AB (publ)
ATIC.ST,Actic Group AB (publ)
IBT-B.ST,Infant Bacterial Therapeutics AB (publ)
KAPIAB.ST,Kallebäck Property Invest AB (publ)
PROF-B.ST,ProfilGruppen AB (publ)
CANTA.ST,Cantargia AB (publ)
FNM.ST,Ferronordic AB (publ)
SEZI.ST,Senzime AB (publ)
CX.ST,CombinedX AB (publ)
EPIS-B.ST,Episurf Medical AB (publ)
CASE.ST,Case Group AB (publ)
DURC-B.ST,Duroc AB (publ)
SINT.ST,SinterCast AB (publ)
ORX.ST,Orexo AB (publ)
QLIRO.ST,Qliro AB (publ)
INFRA.ST,InfraCom Group AB (publ)
NANEXA.ST,Nanexa AB (publ)
DONE.ST,Done.ai Group AB
UNIBAP.ST,Unibap Space Solutions AB (publ)
TITA-B.ST,Titania Holding AB (publ)
ONCO.ST,Oncopeptides AB (publ)
ADTR.ST,Adtraction Group AB
TOBII.ST,Tobii AB (publ)
NORB-B.ST,Nordisk Bergteknik AB (publ)
GARO.ST,Garo Aktiebolag (publ)
CARE.ST,Careium AB (Publ)
HAKI-A.ST,HAKI Safety AB (publ)
HAKI-B.ST,HAKI Safety AB (publ)
NTEK-B.ST,Novotek AB
PRIC-B.ST,Pricer AB (publ)
BIM.ST,BIMobject AB
CEDER.ST,Cedergrenska AB (publ)
RROS.ST,Rottneros AB (publ)
MIDS.ST,Midsummer AB (publ)
BOHO.ST,Boho Group AB (publ)
ENZY.ST,Enzymatica AB (publ)
SKMO.ST,Skåne-möllan AB (publ)
WPTG-B.ST,White Pearl Technology Group AB
