Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
RO.SW,Roche Holding AG,257.40B,325.00,,Drug Manufacturers - General,,,
ROP.SW,Roche Holding AG,257.40B,318.90,,Drug Manufacturers - General,,,
NOVN.SW,Novartis AG,214.80B,116.48,,Drug Manufacturers - General,,,
NOVNEE.SW,Novartis AG,214.80B,117.86,,Drug Manufacturers - General,,,
NESN.SW,Nestlé S.A.,197.06B,76.45,,Packaged Foods,,,
ABBN.SW,ABB Ltd,149.95B,82.90,,Electrical Equipment & Parts,,,
ABBNE.SW,ABB Ltd,149.95B,82.26,,Switchgear and Switchboard Apparatus,,,
UBSG.SW,UBS Group AG,115.02B,37.84,,Banks - Diversified,,,
CFR.SW,Compagnie Financière Richemont SA,97.05B,165.40,,Luxury Goods,,,
ZURN.SW,Zurich Insurance Group AG,81.94B,553.60,,Insurance - Diversified,,,
HOLN.SW,Holcim AG,40.17B,71.90,,Building Materials,,,
GALD.SW,Galderma Group AG,39.15B,168.55,,Drug Manufacturers - Specialty & Generic,,,
SREN.SW,Swiss Re AG,34.73B,118.55,,Insurance - Reinsurance,,,
SRENE.SW,Swiss Re AG,34.73B,118.40,,"Fire, Marine, and Casualty Insurance",,,
LONN.SW,Lonza Group AG,34.17B,497.90,,Diagnostics & Research,,,
SCMN.SW,Swisscom AG,33.49B,648.00,,Telecom Services,,,
SDZ.SW,Sandoz Group AG,28.07B,64.94,,Drug Manufacturers - Specialty & Generic,,,
SCHP.SW,Schindler Holding AG,27.60B,264.40,,Specialty Industrial Machinery,,,
SCHN.SW,Schindler Holding AG,27.60B,254.50,,Specialty Industrial Machinery,,,
SCHNE.SW,Schindler Holding AG,27.60B,251.00,,"Construction, Mining, And Materials Handling",,,
SCHPE.SW,Schindler Holding AG,27.60B,259.80,,"Construction, Mining, And Materials Handling",,,
GIVN.SW,Givaudan SA,27.02B,"3,053.00",,Specialty Chemicals,,,
ALC.SW,Alcon Inc.,25.97B,52.88,,Medical Instruments & Supplies,,,
SIKA.SW,Sika AG,23.75B,148.65,,Specialty Chemicals,,,
SLHN.SW,Swiss Life Holding AG,23.43B,841.60,,Insurance - Diversified,,,
SLHNE.SW,Swiss Life Holding AG,23.43B,846.60,,Life Insurance,,,
KNIN.SW,Kuehne + Nagel International AG,22.90B,191.85,,Integrated Freight & Logistics,,,
AMRZ.SW,Amrize AG,22.64B,40.59,,Building Materials,,,
LISP.SW,Chocoladefabriken Lindt & Sprüngli AG,21.50B,"9,145.00",,Confectioners,,,
LISN.SW,Chocoladefabriken Lindt & Sprüngli AG,21.50B,"94,800.0",,Confectioners,,,
LISPE.SW,Chocoladefabriken Lindt & Sprüngli AG,21.50B,"9,215.00",,Sugar And Confectionery Products,,,
HBAN.SW,Helvetia Baloise Holding AG,19.60B,199.10,,Insurance - Diversified,,,
VACN.SW,VAT Group AG,18.45B,618.60,,Specialty Industrial Machinery,,,
PGHN.SW,Partners Group Holding AG,18.38B,713.60,,Asset Management,,,
SGSN.SW,SGS SA,17.72B,89.20,,Consulting Services,,,
GEBN.SW,Geberit AG,16.63B,504.00,,Building Products & Equipment,,,
GEBNE.SW,Geberit AG,16.63B,505.60,,Building Products & Equipment,,,
EMSN.SW,EMS-CHEMIE HOLDING AG,16.16B,692.00,,Specialty Chemicals,,,
DSFIR.SW,DSM-Firmenich AG,15.19B,61.40,,Specialty Chemicals,,,
STMN.SW,Straumann Holding AG,15.18B,96.18,,Medical Instruments & Supplies,,,
BAER.SW,Julius Bär Gruppe AG,13.41B,65.80,,Asset Management,,,
LOGN.SW,Logitech International S.A.,13.10B,90.84,,Computer Hardware,,,
LOGNE.SW,Logitech International S.A.,13.10B,91.86,,"Computer Peripheral Equipment, not elsewhere classified",,,
SOON.SW,Sonova Holding AG,12.26B,206.80,,Medical Devices,,,
BEAN.SW,BELIMO Holding AG,11.13B,911.50,,Building Products & Equipment,,,
UHR.SW,The Swatch Group AG,10.49B,201.90,,Luxury Goods,,,
UHRN.SW,The Swatch Group AG,10.49B,39.95,,Luxury Goods,,,
SPSN.SW,Swiss Prime Site AG,10.26B,127.50,,Real Estate - Diversified,,,
BCVN.SW,Banque Cantonale Vaudoise,10.14B,118.40,,Banks - Regional,,,
BKW.SW,BKW AG,7.62B,144.40,,Utilities - Renewable,,,
ACLN.SW,Accelleron Industries AG,7.38B,78.40,,Specialty Industrial Machinery,,,
FHZN.SW,Flughafen Zürich AG,7.04B,228.00,,Airports & Air Services,,,
PSPN.SW,PSP Swiss Property AG,6.49B,141.50,,Real Estate Services,,,
AVOL.SW,Avolta AG,6.43B,47.12,,Specialty Retail,,,
BARN.SW,Barry Callebaut AG,6.12B,"1,122.00",,Confectioners,,,
SQN.SW,Swissquote Group Holding SA,5.80B,38.58,,Capital Markets,,,
VZN.SW,VZ Holding AG,5.67B,143.80,,Asset Management,,,
GRKP.SW,Graubündner Kantonalbank,5.35B,"2,150.00",,Banks - Regional,,,
LUKN.SW,Luzerner Kantonalbank AG,5.20B,105.40,,Banks - Regional,,,
SUN.SW,Sulzer AG,5.14B,152.80,,Specialty Industrial Machinery,,,
BANB.SW,Bachem Holding AG,5.13B,69.80,,Biotechnology,,,
SFSN.SW,SFS Group AG,4.95B,127.00,,Tools & Accessories,,,
EFGN.SW,EFG International AG,4.93B,16.70,,Banks - Diversified,,,
HUBN.SW,Huber+Suhner AG,4.77B,260.00,,Communication Equipment,,,
TEMN.SW,Temenos AG,4.63B,67.45,,Software - Application,,,
YPSN.SW,Ypsomed Holding AG,4.62B,351.20,,Medical Instruments & Supplies,,,
SIGN.SW,SIG Group AG,4.61B,12.09,,Packaging & Containers,,,
EMMN.SW,Emmi AG,4.59B,867.00,,Packaged Foods,,,
GALE.SW,Galenica AG,4.19B,83.60,,Medical Distribution,,,
DKSH.SW,DKSH Holding AG,4.07B,62.50,,Consulting Services,,,
DESN.SW,Dottikon ES Holding AG,4.04B,295.00,,Chemicals,,,
BSKP.SW,Basler Kantonalbank,3.97B,95.60,,Banks - Regional,,,
IFCN.SW,INFICON Holding AG,3.97B,163.20,,Scientific & Technical Instruments,,,
VONN.SW,Vontobel Holding AG,3.94B,70.70,,Asset Management,,,
SGKN.SW,St. Galler Kantonalbank AG,3.79B,636.00,,Banks - Regional,,,
TKBP.SW,Thurgauer Kantonalbank,3.70B,186.00,,Banks - Regional,,,
GF.SW,Georg Fischer AG,3.48B,42.64,,Specialty Industrial Machinery,,,
BEKN.SW,Berner Kantonalbank AG,3.47B,372.50,,Banks - Regional,,,
ALLN.SW,Allreal Holding AG,3.41B,206.50,,Real Estate Services,,,
SFZN.SW,Siegfried Holding AG,3.40B,79.55,,Drug Manufacturers - Specialty & Generic,,,
