Ticker,Company,Market Cap,Country
AAB.TO,Aberdeen International Inc.,4.02M,Canada
AAUC.TO,Allied Gold Corporation,5.08B,Canada
AAV.TO,Advantage Energy Ltd.,1.67B,Canada
ABRA.TO,AbraSilver Resource Corp.,2.96B,Canada
ABX.TO,Barrick Mining Corporation,98.94B,Canada
AC.TO,Air Canada,5.87B,Canada
ACB.TO,Aurora Cannabis Inc.,274.35M,Canada
ACD.TO,Accord Financial Corp.,11.38M,Canada
ACO-X.TO,ATCO Ltd.,7.67B,Canada
ACQ.TO,AutoCanada Inc.,526.40M,Canada
ACX.TO,ACT Energy Technologies Ltd.,239.41M,Canada
AD-UN.TO,Alaris Equity Partners Income Trust,1.04B,Canada
ADCO.TO,Adcore Inc.,15.23M,Canada
ADEN.TO,ADENTRA Inc.,827.40M,Canada
ADN.TO,Acadian Timber Corp.,316.70M,Canada
ADW-A.TO,Andrew Peller Limited,263.98M,Canada
ADW-B.TO,Andrew Peller Limited,263.98M,Canada
AEG.TO,Aegis Brands Inc.,23.03M,Canada
AEM.TO,Agnico Eagle Mines Limited,132.25B,Canada
AFN.TO,Ag Growth International Inc.,446.99M,Canada
AG.TO,First Majestic Silver Corp.,14.76B,Canada
AGF-B.TO,AGF Management Limited,1.12B,Canada
AGI.TO,Alamos Gold Inc.,24.92B,Canada
AGMR.TO,Silver Mountain Resources Inc.,253.06M,Canada
AGTF.TO,AGT Food and Ingredients Inc.,1.14B,Canada
AI.TO,Atrium Mortgage Investment Corporation,577.16M,Canada
AIAI.TO,NetraMark Holdings Inc.,97.28M,Canada
AIDX.TO,Healwell AI Inc.,284.11M,Canada
AIF.TO,Altus Group Limited,1.60B,Canada
AII.TO,Almonty Industries Inc.,7.63B,Canada
AIM.TO,Aimia Inc.,239.46M,Canada
AKT-A.TO,AKITA Drilling Ltd.,171.04M,Canada
AKT-B.TO,AKITA Drilling Ltd.,171.04M,Canada
ALA.TO,AltaGas Ltd.,15.82B,Canada
ALC.TO,Algoma Central Corporation,894.93M,Canada
ALS.TO,Altius Minerals Corporation,2.98B,Canada
ALYA.TO,Alithya Group Inc.,131.05M,Canada
AMC.TO,Arizona Metals Corp.,25.49M,Canada
ANRG.TO,Anaergia Inc.,583.25M,Canada
AP-UN.TO,Allied Properties Real Estate Investment Trust,1.93B,Canada
APLI.TO,Appili Therapeutics Inc.,1.99M,Canada
APM.TO,Andean Precious Metals Corp.,986.52M,Canada
APR-UN.TO,Automotive Properties Real Estate Investment Trust,634.36M,Canada
APS.TO,Aptose Biosciences Inc.,6.00M,Canada
AQN.TO,Algonquin Power & Utilities Corp.,6.41B,Canada
ARA.TO,Aclara Resources Inc.,1.20B,Canada
ARE.TO,Aecon Group Inc.,3.63B,Canada
ARG.TO,Amerigo Resources Ltd.,1.07B,Canada
ARIS.TO,Aris Mining Corporation,5.55B,Canada
ARX.TO,ARC Resources Ltd.,17.32B,Canada
ASCU.TO,Arizona Sonoran Copper Company Inc.,1.73B,Canada
ASM.TO,Avino Silver & Gold Mines Ltd.,1.60B,Canada
ASTL.TO,Algoma Steel Group Inc.,738.34M,Canada
ATD.TO,Alimentation Couche-Tard Inc.,72.75B,Canada
ATH.TO,Athabasca Oil Corporation,5.55B,Canada
ATRL.TO,AtkinsRéalis Group Inc.,14.82B,Canada
ATS.TO,ATS Corporation,4.75B,Canada
ATX.TO,ATEX Resources Inc.,1.16B,Canada
ATZ.TO,Aritzia Inc.,16.99B,Canada
AVCN.TO,Avicanna Inc.,16.98M,Canada
AVL.TO,Avalon Advanced Materials Inc.,54.29M,Canada
AVNT.TO,Avant Brands Inc.,9.03M,Canada
AW.TO,A & W Food Services of Canada Inc.,864.30M,Canada
AYA.TO,Aya Gold & Silver Inc.,3.78B,Canada
BABY.TO,Else Nutrition Holdings Inc.,1.48M,Canada
BAM.TO,Brookfield Asset Management Ltd.,108.60B,Canada
BAMI.TO,Blue Ant Media Corporation,169.50M,Canada
BB.TO,BlackBerry Limited,5.17B,Canada
BBD-A.TO,Bombardier Inc.,28.99B,Canada
BBD-B.TO,Bombardier Inc.,28.99B,Canada
BBUC.TO,Brookfield Business Corporation,8.73B,Canada
BCE.TO,BCE Inc.,30.86B,Canada
BCT.TO,BriaCell Therapeutics Corp.,41.55M,Canada
BDGI.TO,Badger Infrastructure Solutions Ltd.,2.83B,Canada
BDI.TO,Black Diamond Group Limited,1.19B,Canada
BDT.TO,Bird Construction Inc.,2.96B,Canada
BEI-UN.TO,Boardwalk Real Estate Investment Trust,3.10B,Canada
BEK-B.TO,The Becker Milk Company Limited,23.15M,Canada
BEPC.TO,Brookfield Renewable Corporation,17.18B,Canada
BGAU.TO,Blossom Gold Inc.,260.61M,Canada
BHC.TO,Bausch Health Companies Inc.,2.94B,Canada
BIPC.TO,Brookfield Infrastructure Corporation,6.53B,Canada
BIR.TO,Birchcliff Energy Ltd.,1.74B,Canada
BK.TO,Canadian Banc Corp.,741.48M,Canada
BKI.TO,Black Iron Inc.,33.23M,Canada
BLCO.TO,Bausch + Lomb Corporation,7.89B,Canada
BLDP.TO,Ballard Power Systems Inc.,1.71B,Canada
BLN.TO,Blackline Safety Corp.,786.52M,Canada
BLX.TO,Boralex Inc.,3.78B,Canada
BMO.TO,Bank of Montreal,147.52B,Canada
BN.TO,Brookfield Corporation,144.03B,Canada
BNE.TO,Bonterra Energy Corp.,244.69M,Canada
BNG.TO,Bengal Energy Ltd.,19.41M,Canada
BNS.TO,The Bank of Nova Scotia,130.64B,Canada
BOIL.TO,Beyond Oil Ltd.,221.14M,Canada
BOS.TO,AirBoss of America Corp.,218.96M,Canada
BPF-UN.TO,Boston Pizza Royalties Income Fund,515.37M,Canada
BR.TO,Big Rock Brewery Inc.,17.45M,Canada
BRAG.TO,Bragg Gaming Group Inc.,75.19M,Canada
BRE.TO,Bridgemarq Real Estate Services Inc.,130.50M,Canada
BRY.TO,Bri-Chem Corp.,9.25M,Canada
BSX.TO,Belo Sun Mining Corp,738.98M,Canada
BTB-UN.TO,BTB Real Estate Investment Trust,344.98M,Canada
BTE.TO,Baytex Energy Corp.,4.79B,Canada
BTO.TO,B2Gold Corp.,9.66B,Canada
BU.TO,Burcon NutraScience Corporation,26.02M,Canada
BYD.TO,Boyd Group Services Inc.,4.40B,Canada
BYL.TO,Baylin Technologies Inc.,38.96M,Canada
CAE.TO,CAE Inc.,11.87B,Canada
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,5.40B,Canada
CAS.TO,Cascades Inc.,1.09B,Canada
CCA.TO,Cogeco Communications Inc.,2.69B,Canada
CCL-A.TO,CCL Industries Inc.,14.59B,Canada
CCL-B.TO,CCL Industries Inc.,14.59B,Canada
CCM.TO,Canagold Resources Ltd.,111.25M,Canada
CCO.TO,Cameco Corporation,69.68B,Canada
CDR.TO,Condor Energies Inc.,219.20M,Canada
CEMX.TO,CEMATRIX Corporation,82.39M,Canada
CEU.TO,CES Energy Solutions Corp.,3.75B,Canada
CF.TO,Canaccord Genuity Group Inc.,1.26B,Canada
CFF.TO,Conifex Timber Inc.,4.69M,Canada
CFP.TO,Canfor Corporation,1.49B,Canada
