Symbol,Company Name,Exchange,Industry,Market Cap
TSXV:TOI,Topicus.com Inc.,TSX Venture Exchange,Software - Infrastructure,7592171330
TSXV:ARTG,Artemis Gold Inc.,TSX Venture Exchange,Other Precious Metals & Mining,7398434054
TSXV:LMN,Lumine Group Inc.,TSX Venture Exchange,Software - Application,5517338342
TSXV:PNG,Kraken Robotics Inc.,TSX Venture Exchange,Scientific & Technical Instruments,2008924500
TSXV:PNG.R,Kraken Robotics Inc.,TSX Venture Exchange,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments",
TSXV:AFM,Alphamin Resources Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,1925731319
TSXV:SGML,Sigma Lithium Corporation,TSX Venture Exchange,Other Industrial Metals & Mining,1853745920
TSXV:OMG,Omai Gold Mines Corp.,TSX Venture Exchange,Gold,1519677176
TSXV:TALA,Talamore Mining Corp.,TSX Venture Exchange,Other Precious Metals & Mining,1079491840
TSXV:ODV,Osisko Development Corp.,TSX Venture Exchange,Gold,500474804
TSXV:MTA,Metalla Royalty & Streaming Ltd.,TSX Venture Exchange,Other Precious Metals & Mining,987689994
TSXV:SLI,Standard Lithium Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,812781909
TSXV:GRZ,Gold Reserve Ltd.,TSX Venture Exchange,Gold,774763995
TSXV:QNC,Quantum eMotion Corp.,TSX Venture Exchange,Software - Infrastructure,921352614
TSXV:MKO,Mako Mining Corp.,TSX Venture Exchange,Gold,909796682
TSXV:NCX,NorthIsle Copper and Gold Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,873311796
TSXV:MOON,Blue Moon Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,433292072
TSXV:SCZ,Santacruz Silver Mining Ltd.,TSX Venture Exchange,Other Industrial Metals & Mining,861561094
TSXV:DXT,Dexterra Group Inc.,TSX Venture Exchange,Services To Dwellings And Other Buildings,
TSXV:NFG,New Found Gold Corp.,TSX Venture Exchange,Gold,527247254
TSXV:TAU,Thesis Gold & Silver Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,808950734
TSXV:BZ,Benz Mining Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,685954662
TSXV:FWZ,Fireweed Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,762578205
TSXV:WED,The Westaim Corporation,TSX Venture Exchange,Asset Management,733442601
TSXV:AUXX,Gold X2 Mining Inc.,TSX Venture Exchange,Gold,727442674
TSXV:THX,Thor Explorations Ltd.,TSX Venture Exchange,Gold,713233256
TSXV:RML,Rusoro Mining Ltd.,TSX Venture Exchange,Gold,685826377
TSXV:AMX,Amex Exploration Inc.,TSX Venture Exchange,Gold,631650975
TSXV:ITR,Integra Resources Corp.,TSX Venture Exchange,Other Precious Metals & Mining,558609160
TSXV:QTWO,Q2 Metals Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,590948864
TSXV:BYN,Banyan Gold Corp.,TSX Venture Exchange,Gold,647552314
TSXV:ASE,Asante Gold Corporation,TSX Venture Exchange,Gold,419470715
TSXV:ZDC,Zedcor Inc.,TSX Venture Exchange,Security & Protection Services,612321064
TSXV:UCU,Ucore Rare Metals Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,610134041
TSXV:GSKR,Goldsky Resources Corp.,TSX Venture Exchange,Other Precious Metals & Mining,599066000
TSXV:LGN,Logan Energy Corp.,TSX Venture Exchange,Oil & Gas Exploration & Production,522885807
TSXV:DBG,Doubleview Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,542788594
TSXV:MAI,Minera Alamos Inc.,TSX Venture Exchange,Gold,276488904
TSXV:CEI,Coelacanth Energy Inc.,TSX Venture Exchange,Oil & Gas Exploration & Production,426014814
TSXV:REG,Regulus Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,498412332
TSXV:HSTR,Heliostar Metals Ltd.,TSX Venture Exchange,Gold,491238542
TSXV:ALDE,Aldebaran Resources Inc.,TSX Venture Exchange,Other Industrial Metals & Mining,298692240
TSXV:GGA,Goldgroup Mining Inc.,TSX Venture Exchange,Gold,491493760
TSXV:IFOS,Itafos Inc.,TSX Venture Exchange,Agricultural Inputs,481106600
TSXV:PBL,Pollard Banknote Limited,TSX Venture Exchange,"Converted Paper And Paperboard Products, Except Containers And Boxes",
TSXV:SLG,San Lorenzo Gold Corp.,TSX Venture Exchange,Other Industrial Metals & Mining,421359066
TSXV:FDR,Founders Metals Inc.,TSX Venture Exchange,Gold,434790000
